bucket,every_n,n_sym,fund_pnl,price_pnl,gross,turnover,net_real,net_pess,rebalanced
1712678400000,1,33,5.6537000000000004e-05,0.014664031391113112,0.014720568391113112,1.2,0.012776568391113113,0.011480568391113112,1
1712707200000,1,33,0.000125361,0.004105503305181247,0.0042308643051812474,1.4,0.001962864305181248,0.0004508643051812475,1
1712736000000,1,33,6.4237e-05,0.015227981795053204,0.015292218795053204,0.9999999999999999,0.013672218795053204,0.012592218795053204,1
1712764800000,1,33,9.5602e-05,0.011098535108595963,0.011194137108595964,1.2,0.009250137108595964,0.007954137108595964,1
1712793600000,1,33,0.00012945,0.00033411233108161537,0.0004635623310816154,0.7999999999999999,-0.0008324376689183844,-0.0016964376689183845,1
1712822400000,1,33,0.000106785,-0.002280880255187578,-0.002174095255187578,0.6,-0.003146095255187578,-0.0037940952551875785,1
1712851200000,1,33,5.8033000000000005e-05,0.002423320936276905,0.002481353936276905,0.7999999999999999,0.001185353936276905,0.0003213539362769049,1
1712880000000,1,33,9.7706e-05,0.0066754515123812145,0.006773157512381215,0.9999999999999999,0.005153157512381215,0.004073157512381215,1
1712908800000,1,33,1.8287000000000003e-05,0.000155153653206852,0.000173440653206852,1.4000000000000001,-0.002094559346793148,-0.0036065593467931485,1
1712937600000,1,33,4.0938e-05,-0.008933101818791655,-0.008892163818791654,1.4000000000000001,-0.011160163818791653,-0.012672163818791654,1
1712966400000,1,33,1.0891e-05,0.007969663034639193,0.007980554034639193,1.8000000000000007,0.005064554034639192,0.003120554034639191,1
1712995200000,1,33,4.697999999999998e-06,-0.0033727105635684377,-0.0033680125635684377,1.2,-0.005312012563568437,-0.006608012563568438,1
1713024000000,1,33,3.1752000000000004e-05,-0.00861581386629374,-0.00858406186629374,0.0,-0.00858406186629374,-0.00858406186629374,1
1713052800000,1,33,-9.3163e-05,0.0007185767235450974,0.0006254137235450973,1.6000000000000003,-0.0019665862764549034,-0.003694586276454904,1
1713081600000,1,33,0.000105421,0.018991427598089927,0.019096848598089928,0.7999999999999999,0.01780084859808993,0.01693684859808993,1
1713110400000,1,33,5.833000000000001e-06,-0.005542842109073343,-0.005537009109073343,0.9999999999999999,-0.007157009109073343,-0.008237009109073342,1
1713139200000,1,33,0.000135333,-0.00638525028902821,-0.00624991728902821,0.7999999999999999,-0.00754591728902821,-0.00840991728902821,1
1713168000000,1,33,0.000200142,0.008200352975118917,0.008400494975118918,0.7999999999999999,0.007104494975118917,0.006240494975118917,1
1713196800000,1,33,8.197e-05,0.00022584363256326033,0.00030781363256326033,0.6000000000000001,-0.0006641863674367398,-0.00131218636743674,1
1713225600000,1,33,0.000146707,-0.0005585099902029386,-0.00041180299020293865,0.6,-0.0013838029902029385,-0.002031802990202939,1
1713254400000,1,33,0.000106959,-0.0008671799156925617,-0.0007602209156925617,0.7999999999999999,-0.002056220915692562,-0.002920220915692562,1
1713283200000,1,33,0.000107595,0.0018232274982297296,0.0019308224982297296,1.2,-1.317750177027015e-05,-0.0013091775017702706,1
1713312000000,1,33,0.00017866200000000003,0.0063943048408241065,0.006572966840824107,0.9999999999999999,0.004952966840824107,0.003872966840824107,1
1713340800000,1,33,8.837200000000001e-05,-0.0022540238683859144,-0.002165651868385914,0.7999999999999999,-0.003461651868385914,-0.004325651868385914,1
1713369600000,1,33,8.763400000000001e-05,0.0027172393260092797,0.0028048733260092797,0.9999999999999999,0.00118487332600928,0.00010487332600928002,1
1713398400000,1,33,0.00010167200000000001,-0.002948634831674568,-0.002846962831674568,1.2,-0.004790962831674568,-0.006086962831674568,1
1713427200000,1,33,0.000147106,-0.008372228458313223,-0.008225122458313224,0.9999999999999999,-0.009845122458313224,-0.010925122458313223,1
1713456000000,1,33,0.000138779,0.011975013994564231,0.012113792994564231,0.9999999999999999,0.010493792994564231,0.009413792994564232,1
1713484800000,1,33,0.00014157600000000003,-0.0031667389621587772,-0.003025162962158777,0.9999999999999999,-0.004645162962158777,-0.005725162962158777,1
