date,asset,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowInExUSD,FlowInExUSD-status,FlowInExUSD-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,FlowOutExUSD,FlowOutExUSD-status,FlowOutExUSD-status-time,SplyExNtv,SplyExNtv-status,SplyExNtv-status-time,SplyExUSD,SplyExUSD-status,SplyExUSD-status-time,fetched_at
2011-06-15,btc,307.658,flash,2026-04-02T17:05:23.277011000Z,5988.299191475016,flash,2026-04-02T17:05:24.180634000Z,255.18779156,flash,2026-04-02T17:05:11.044566000Z,4967.011570877542,flash,2026-04-02T17:05:24.138878000Z,1933.09145356,flash,2026-04-02T17:05:09.794708000Z,37625.96775770697,flash,2026-04-02T17:05:24.100209000Z,2026-08-07 05:31:50 UTC
2011-06-16,btc,238.16903936,flash,2026-04-02T17:05:40.475042000Z,4270.219053054121,flash,2026-04-02T17:05:41.640310000Z,78.90320616,flash,2026-04-02T17:05:29.853097000Z,1414.6841889982306,flash,2026-04-02T17:05:41.594275000Z,2092.35728676,flash,2026-04-02T17:05:28.708007000Z,37514.63236249574,flash,2026-04-02T17:05:41.549314000Z,2026-08-07 05:31:50 UTC
2011-06-17,btc,131.87575174,flash,2026-04-02T17:05:56.521459000Z,2035.6827545268168,flash,2026-04-02T17:05:57.700811000Z,74.85519718,flash,2026-04-02T17:05:46.968005000Z,1155.4924387195792,flash,2026-04-02T17:05:57.652885000Z,2149.37784132,flash,2026-04-02T17:05:45.890582000Z,33178.589291863405,flash,2026-04-02T17:05:57.619023000Z,2026-08-07 05:31:50 UTC
2011-06-18,btc,110.26,flash,2026-04-02T17:06:12.760681000Z,1860.6821040687275,flash,2026-04-02T17:06:13.718375000Z,231.59,flash,2026-04-02T17:06:03.120656000Z,3908.174936343883,flash,2026-04-02T17:06:13.680138000Z,2028.04784132,flash,2026-04-02T17:06:02.016929000Z,34224.12773933737,flash,2026-04-02T17:06:13.644541000Z,2026-08-07 05:31:50 UTC
2011-06-19,btc,169.302737,flash,2026-04-02T17:06:29.248737000Z,2964.6122796074296,flash,2026-04-02T17:06:30.290335000Z,178.3355,flash,2026-04-02T17:06:19.031397000Z,3122.782434343816,flash,2026-04-02T17:06:30.236984000Z,2019.01507832,flash,2026-04-02T17:06:17.828753000Z,35354.40123392706,flash,2026-04-02T17:06:30.205036000Z,2026-08-07 05:31:50 UTC
2011-06-20,btc,79.84780943,flash,2026-04-02T17:06:45.081812000Z,1398.1923773384237,flash,2026-04-02T17:06:46.236970000Z,68.5115,flash,2026-04-02T17:06:35.479483000Z,1199.6854734505823,flash,2026-04-02T17:06:46.184739000Z,2030.35138775,flash,2026-04-02T17:06:34.489886000Z,35552.908137814906,flash,2026-04-02T17:06:46.104700000Z,2026-08-07 05:31:50 UTC
2011-06-21,btc,72.08109986,flash,2026-04-02T17:07:02.397199000Z,1262.1917256574852,flash,2026-04-02T17:07:03.471203000Z,96.072,flash,2026-04-02T17:06:50.625497000Z,1682.2895835785869,flash,2026-04-02T17:07:03.420587000Z,2006.36048761,flash,2026-04-02T17:06:50.116627000Z,35132.8102798938,flash,2026-04-02T17:07:03.381102000Z,2026-08-07 05:31:50 UTC
2011-06-22,btc,343.26044613,flash,2026-04-02T17:07:21.128300000Z,6010.736457854917,flash,2026-04-02T17:07:22.168715000Z,132.713,flash,2026-04-02T17:07:08.210314000Z,2323.8997575304456,flash,2026-04-02T17:07:22.118968000Z,2216.90793374,flash,2026-04-02T17:07:07.567028000Z,38819.64698021827,flash,2026-04-02T17:07:22.087421000Z,2026-08-07 05:31:50 UTC
2011-06-23,btc,154.1195,flash,2026-04-02T17:07:40.155877000Z,2698.7429165244816,flash,2026-04-02T17:07:41.351006000Z,40.3415,flash,2026-04-02T17:07:26.189082000Z,706.40858143825,flash,2026-04-02T17:07:41.268229000Z,2330.68593374,flash,2026-04-02T17:07:25.648997000Z,40811.981315304496,flash,2026-04-02T17:07:41.234780000Z,2026-08-07 05:31:50 UTC
2011-06-24,btc,193.90744993,flash,2026-04-02T17:07:58.435265000Z,3395.4584394571298,flash,2026-04-02T17:07:59.489608000Z,1218.8857377,flash,2026-04-02T17:07:45.614404000Z,21343.562953880544,flash,2026-04-02T17:07:59.448009000Z,1305.70764597,flash,2026-04-02T17:07:45.013321000Z,22863.876800881088,flash,2026-04-02T17:07:59.406473000Z,2026-08-07 05:31:50 UTC
